"sex","sat_v","sat_m","hs_gpa","fy_gpa","sat_v_cl"
"1",44,59,3.7,3.08,"43-49"
"2",44,60,4,2.77,"43-49"
"2",53,40,4,3.6,"49-76"
"1",40,44,2.1,1.31,"24-43"
"2",53,54,3.6,3.13,"49-76"
"2",54,55,3.8,3.06,"49-76"
"1",61,57,2.5,1.78,"49-76"
"1",61,49,2.2,0,"49-76"
"1",44,50,2.5,3.07,"43-49"
"1",32,66,3,2.39,"24-43"
"2",54,61,3.33,3.3,"49-76"
"2",41,50,3,2.14,"24-43"
"2",54,61,3.5,2.96,"49-76"
"2",54,61,3.33,3.21,"49-76"
"1",50,53,3.5,3.35,"49-76"
"1",65,60,3.2,2.83,"49-76"
"2",62,57,4,3.77,"49-76"
"2",40,34,3.7,2.1,"24-43"
"1",35,40,3,1.52,"24-43"
"2",37,55,2.75,2.38,"24-43"
"1",39,38,3.2,1.51,"24-43"
"1",46,53,3,1.43,"43-49"
"1",49,57,2.2,1.47,"49-76"
"1",62,75,4,3.59,"49-76"
"2",48,49,2.8,2,"43-49"
"1",56,53,3.5,2.95,"49-76"
"2",50,43,2.75,1.62,"49-76"
"1",46,44,3,2.24,"43-49"
"2",43,47,2.7,2.02,"43-49"
"2",46,47,2.8,2.24,"43-49"
"1",49,55,2.3,1.79,"49-76"
"2",47,48,3.5,3,"43-49"
"1",37,64,2.5,3.25,"24-43"
"2",48,60,3,1.88,"43-49"
"1",49,42,2.3,1.87,"49-76"
"1",49,48,2.3,2.53,"49-76"
"2",45,63,4,3.76,"43-49"
"2",53,57,2.8,2.7,"49-76"
"2",43,61,2.8,2.6,"43-49"
"2",50,49,3.7,2.98,"49-76"
"1",47,50,3.5,3,"43-49"
"1",51,57,3.4,3.22,"49-76"
"1",60,68,4,4,"49-76"
"1",43,51,3,1.69,"43-49"
"1",54,53,3,2.49,"49-76"
"2",57,66,3.9,2.93,"49-76"
"2",49,55,4,3.1,"49-76"
"2",47,67,4,3.76,"43-49"
"1",41,61,2.7,1.5,"24-43"
"1",39,38,4.5,1.12,"24-43"
"2",36,55,3.5,2.37,"24-43"
"2",50,56,2.8,2.29,"49-76"
"2",51,52,3.2,1.83,"49-76"
"2",52,51,3,2.1,"49-76"
"2",33,32,2.2,1.18,"24-43"
"2",45,46,2.9,2.73,"43-49"
"1",58,64,3.25,2.45,"49-76"
"2",46,58,3.3,2.91,"43-49"
"2",56,53,3.4,3.8,"49-76"
"1",48,44,3.1,2.21,"43-49"
"1",62,75,4,3.43,"49-76"
"1",45,59,3.2,2.28,"43-49"
"2",53,56,2.75,3.63,"49-76"
"2",54,59,3.33,3.34,"49-76"
"1",51,57,2.5,2.38,"49-76"
"2",41,43,3.2,1.93,"24-43"
"2",43,52,3.8,2.33,"43-49"
"2",39,52,3.1,2.02,"24-43"
"2",43,52,3,2.36,"43-49"
"2",55,60,2.5,2.94,"49-76"
"2",52,52,2.8,1.16,"49-76"
"1",59,67,4,3.31,"49-76"
"2",49,45,2.8,2,"49-76"
"2",57,72,3.7,1.95,"49-76"
"2",48,51,3.75,3.56,"43-49"
"2",66,57,3.25,2.37,"49-76"
"2",45,55,2.7,2.29,"43-49"
"1",56,63,3,2.03,"49-76"
"1",63,66,4,3.54,"49-76"
"2",39,31,3.25,2.24,"24-43"
"1",40,58,2.4,2.44,"24-43"
"2",66,52,2.9,2.37,"49-76"
"2",47,48,3.5,3,"43-49"
"1",52,52,2.75,2.42,"49-76"
"2",49,55,3.4,3.04,"49-76"
"1",48,47,3,2.24,"43-49"
"1",60,64,4,3.21,"49-76"
"2",59,56,3.7,2.13,"49-76"
"2",40,48,3.5,3.02,"24-43"
"1",45,47,2.4,1.79,"43-49"
"2",43,47,2.7,2.91,"43-49"
"2",47,46,2.9,2.24,"43-49"
"1",59,67,4,3.31,"49-76"
"2",48,43,3.7,2.07,"43-49"
"1",38,53,2.9,1.92,"24-43"
"2",50,54,3.33,2.56,"49-76"
"1",55,55,3.3,1.83,"49-76"
"2",39,42,2.8,2.38,"24-43"
"2",49,57,3.5,2.25,"49-76"
"1",41,59,2.7,1.4,"24-43"
"1",38,49,3.2,1.17,"24-43"
"1",39,53,2.1,0.47,"24-43"
"1",46,51,2.2,1.47,"43-49"
"1",55,52,4,3.19,"49-76"
"2",34,69,2.7,2.71,"24-43"
"2",49,55,3.3,2.29,"49-76"
"1",40,52,2.5,1.24,"24-43"
"2",53,57,2.8,2.13,"49-76"
"1",39,56,3.7,2.14,"24-43"
"1",52,62,3.1,2.59,"49-76"
"1",46,57,3.25,2.91,"43-49"
"1",42,37,3.2,2.24,"24-43"
"2",58,53,3.8,3.63,"49-76"
"1",50,56,3,1.65,"49-76"
"1",44,43,2,1.73,"43-49"
"1",53,49,3,1.73,"49-76"
"2",43,49,3,2,"43-49"
"2",57,55,4,3.69,"49-76"
"1",38,58,2.9,1.71,"24-43"
"1",52,66,3.5,1.43,"49-76"
"1",46,40,3,3.27,"43-49"
"2",50,43,2.8,3,"49-76"
"1",46,51,2.6,2.18,"43-49"
"1",36,52,2.7,2.12,"24-43"
"1",45,57,2.8,2.62,"43-49"
"2",49,55,3.3,3.22,"49-76"
"1",55,48,3.5,2.95,"49-76"
"2",41,50,3.8,3.27,"24-43"
"1",40,48,2.8,1.9,"24-43"
"2",47,48,3.3,3.35,"43-49"
"2",64,60,3.7,3.87,"49-76"
"2",29,54,2.8,1.6,"24-43"
"1",45,54,3.5,2.61,"43-49"
"1",36,48,2.75,2.88,"24-43"
"1",39,38,3.2,1.62,"24-43"
"1",49,48,2.4,2.24,"49-76"
"1",54,45,3.7,2.09,"49-76"
"2",35,40,2.9,1.82,"24-43"
"1",47,57,3.1,2.59,"43-49"
"1",35,53,2.7,2.95,"24-43"
"1",58,60,3.3,2.37,"49-76"
"2",35,50,3.5,2.37,"24-43"
"2",41,57,2,2.66,"24-43"
"1",48,41,2.7,1.35,"43-49"
"2",58,58,3.6,2.67,"49-76"
"2",51,59,3.7,2.19,"49-76"
"1",40,58,2.4,1.74,"24-43"
"1",41,52,2.7,2.54,"24-43"
"2",58,62,3.5,3.15,"49-76"
"1",48,58,3.8,2.85,"43-49"
"1",65,57,2.5,3.64,"49-76"
"1",60,60,3.3,2.37,"49-76"
"1",46,65,2.7,2,"43-49"
"2",33,60,2.9,2.27,"24-43"
"1",61,65,4,3.09,"49-76"
"2",50,51,3.2,1.83,"49-76"
"2",53,51,2,3.33,"49-76"
"2",56,58,4,3.19,"49-76"
"2",34,37,2.4,2.88,"24-43"
"2",47,47,2.6,1.87,"43-49"
"2",47,67,4,3.76,"43-49"
"1",52,62,2.6,2.67,"49-76"
"1",50,53,2.67,1.62,"49-76"
"1",61,45,2.6,3.64,"49-76"
"1",42,56,3.8,2.35,"24-43"
"2",67,59,3.25,2.83,"49-76"
"2",43,58,3.5,3.06,"43-49"
"2",42,40,2.8,0.77,"24-43"
"1",56,52,3.3,2.56,"49-76"
"1",40,57,3.5,2.04,"24-43"
"1",41,60,2.7,2.29,"24-43"
"2",48,50,3,2.19,"43-49"
"2",45,53,2.9,1.64,"43-49"
"2",57,50,3.5,3.38,"49-76"
"1",54,59,3,1.54,"49-76"
"2",49,58,3.8,3.6,"49-76"
"1",41,56,2.9,3.11,"24-43"
"1",57,60,3.75,2.88,"49-76"
"1",48,63,3.4,2.48,"43-49"
"2",45,49,2,0,"43-49"
"1",45,53,2.4,1.77,"43-49"
"2",63,54,4,2.33,"49-76"
"2",37,59,4,2.77,"24-43"
"1",44,41,2.25,1.13,"43-49"
"2",40,57,3.3,1.86,"24-43"
"2",49,38,2.75,2.04,"49-76"
"2",57,59,3.3,2.67,"49-76"
"2",46,56,3.7,2.35,"43-49"
"1",56,58,3.3,1.13,"49-76"
"2",57,45,2.8,3.16,"49-76"
"1",41,59,3.25,1.5,"24-43"
"2",57,59,3.6,3.16,"49-76"
"1",50,77,3.75,3.48,"49-76"
"2",47,50,3.5,2.56,"43-49"
"1",57,58,3,3.21,"49-76"
"1",44,41,2.8,2.98,"43-49"
"1",39,38,4.5,1.13,"24-43"
"1",68,69,3.75,3.72,"49-76"
"1",68,70,3.3,3.25,"49-76"
"1",53,57,2.5,2.14,"49-76"
"1",41,66,4,2.35,"24-43"
"2",37,51,3.1,1.17,"24-43"
"1",64,61,3.75,2.52,"49-76"
"2",41,57,2.8,1.71,"24-43"
"1",54,71,3.7,3.13,"49-76"
"1",58,51,3.25,2.74,"49-76"
"1",53,59,3.5,2.52,"49-76"
"1",40,44,3,1.97,"24-43"
"1",40,62,3.5,2.19,"24-43"
"1",32,57,2.8,2.62,"24-43"
"2",40,47,3,2.14,"24-43"
"2",50,43,2.8,2.31,"49-76"
"2",71,55,4,2.33,"49-76"
"1",47,37,2.6,1.54,"43-49"
"1",46,60,3.3,2.28,"43-49"
"2",43,53,2.7,1.33,"43-49"
"1",43,59,2.25,2.66,"43-49"
"1",47,41,2.8,3.27,"43-49"
"1",48,60,3.8,1.13,"43-49"
"1",51,65,3,4,"49-76"
"1",61,57,3.5,1.97,"49-76"
"2",35,52,3.25,2,"24-43"
"2",50,58,3.7,2.19,"49-76"
"2",45,48,3.4,1.9,"43-49"
"1",71,70,3.75,3.94,"49-76"
"2",57,66,3.9,1.94,"49-76"
"1",52,65,3.5,2.61,"49-76"
"1",45,55,2.6,2.28,"43-49"
"2",55,54,4,2.27,"49-76"
"2",43,49,3.7,3.27,"43-49"
"1",45,46,3.7,1.55,"43-49"
"1",41,56,3.75,3.25,"24-43"
"1",58,56,3,3.21,"49-76"
"1",57,58,3,3.13,"49-76"
"2",62,64,3.8,3.24,"49-76"
"1",60,57,3.7,2.43,"49-76"
"1",59,48,2.2,1.91,"49-76"
"2",45,53,3.2,1.7,"43-49"
"1",57,60,3,2.67,"49-76"
"1",42,50,2.7,1.33,"24-43"
"2",52,52,4,3.78,"49-76"
"2",50,62,3.3,2.28,"49-76"
"1",50,57,3.5,2.52,"49-76"
"2",62,52,3.4,3.16,"49-76"
"1",45,53,2.6,1.67,"43-49"
"2",55,58,4,2.71,"49-76"
"1",35,40,3,0.61,"24-43"
"2",50,50,3.7,2.19,"49-76"
"2",35,60,2.8,1.6,"24-43"
"1",66,67,3.3,2.83,"49-76"
"1",60,66,3.75,2.79,"49-76"
"2",54,40,2.8,2.49,"49-76"
"2",54,61,4,3.82,"49-76"
"1",49,57,3,2.59,"49-76"
"1",69,73,4,3.94,"49-76"
"2",67,77,4,3.49,"49-76"
"1",45,58,3.7,2.38,"43-49"
"1",55,67,3.7,2.05,"49-76"
"2",37,51,2,1.47,"24-43"
"2",48,49,3.3,2.42,"43-49"
"1",49,55,3.4,2.55,"49-76"
"2",42,55,3.5,2.54,"24-43"
"1",56,74,4,3.29,"49-76"
"1",36,52,3.3,2.19,"24-43"
"2",55,55,4,3.51,"49-76"
"2",38,43,2.9,1.97,"24-43"
"2",49,48,3.3,2.4,"49-76"
"2",48,56,2.8,2.17,"43-49"
"1",52,52,3.5,2.61,"49-76"
"1",57,56,3.3,2.37,"49-76"
"1",37,64,2.9,2.27,"24-43"
"1",52,62,3.9,3.61,"49-76"
"2",43,52,3.8,3.56,"43-49"
"1",59,63,4,3.75,"49-76"
"1",45,53,2.2,1.77,"43-49"
"2",43,42,2.75,2.02,"43-49"
"2",53,37,3.3,3.35,"49-76"
"2",36,47,2.5,2.23,"24-43"
"2",50,50,3.7,3.63,"49-76"
"2",36,55,3.5,1.38,"24-43"
"2",55,52,2.8,1.83,"49-76"
"1",45,47,3.7,2.37,"43-49"
"1",43,51,2.6,2.31,"43-49"
"2",45,45,2.75,2.17,"43-49"
"1",38,42,2.2,1.58,"24-43"
"1",53,62,3.75,2.6,"49-76"
"2",44,57,3.7,3.51,"43-49"
"1",57,59,4,2.8,"49-76"
"2",46,45,2.6,1.87,"43-49"
"2",46,57,3.3,3.07,"43-49"
"1",64,70,3.5,3.18,"49-76"
"2",47,48,3.3,2.54,"43-49"
"2",45,49,3,1.7,"43-49"
"1",40,45,2.5,2.85,"24-43"
"2",48,49,2.8,2.98,"43-49"
"1",57,62,2.25,1.36,"49-76"
"2",59,63,4,3.76,"49-76"
"2",55,38,2.25,1.13,"49-76"
"2",57,57,3.8,3.17,"49-76"
"1",52,64,3,2.59,"49-76"
"1",68,64,2.9,2.85,"49-76"
"1",62,75,4,4,"49-76"
"1",53,59,3.5,3.71,"49-76"
"1",37,67,2.9,2.2,"24-43"
"2",47,58,3.25,2.68,"43-49"
"2",41,59,3,3.17,"24-43"
"2",45,58,3.75,3.02,"43-49"
"1",56,67,4,3.21,"49-76"
"1",39,56,3.5,2.19,"24-43"
"1",59,63,4,3.75,"49-76"
"1",44,50,2.5,1.79,"43-49"
"2",32,32,2.6,2.19,"24-43"
"1",42,66,2.7,2,"24-43"
"2",54,49,3.6,2.23,"49-76"
"2",47,47,3.5,2.16,"43-49"
"1",49,47,2.7,2.21,"49-76"
"1",51,64,2.6,1.94,"49-76"
"2",62,51,2.9,2.37,"49-76"
"1",56,53,3,1.57,"49-76"
"1",38,52,2.1,0.6,"24-43"
"2",54,55,3.7,2.09,"49-76"
