"sex","sat_v","sat_m","hs_gpa","fy_gpa","sat_v_cl"
"1",39,58,2.5,1.74,"49-76"
"2",44,53,2.7,2.17,"43-49"
"2",53,40,3.3,2.29,"24-43"
"1",51,57,2.75,2.11,"49-76"
"2",55,53,4,3.57,"43-49"
"2",54,53,3.33,2.48,"49-76"
"1",59,55,3.5,2,"43-49"
"1",33,53,3.5,1.38,"43-49"
"1",62,75,3.8,2.89,"24-43"
"1",39,67,2.9,1.32,"43-49"
"2",71,55,4,2.91,"49-76"
"2",62,57,4,2.96,"49-76"
"2",58,66,4,3.44,"49-76"
"2",39,47,2.6,2.56,"49-76"
"1",50,67,3.1,2.02,"43-49"
"1",53,51,3.4,1.8,"24-43"
"2",71,59,4,2.71,"43-49"
"2",38,49,2.5,1.98,"49-76"
"1",37,46,2.2,1.38,"43-49"
"2",53,52,4,3.51,"49-76"
"1",45,58,2.8,1.64,"49-76"
"1",41,56,2.7,2.08,"49-76"
"1",45,66,2.8,2.52,"49-76"
"1",48,58,3.8,1.13,"43-49"
"2",47,57,3.6,3.26,"49-76"
"1",39,58,2.8,3.11,"24-43"
"2",54,52,2.6,1.83,"49-76"
"1",49,41,2.1,2.24,"43-49"
"2",36,42,2.6,1.44,"43-49"
"2",53,40,3.3,3.22,"24-43"
"1",66,66,3.2,2.43,"43-49"
"2",46,53,3.4,1.95,"24-43"
"1",43,64,2.4,2.72,"24-43"
"2",38,51,2.7,2.95,"43-49"
"1",45,57,3,1.6,"49-76"
"1",52,46,2.5,2.03,"49-76"
"2",49,49,3,2,"43-49"
"2",49,53,3.3,3.22,"49-76"
"2",52,49,3.5,3.1,"43-49"
"2",43,59,3.25,0.36,"49-76"
"1",50,60,3.5,1.33,"24-43"
"1",39,44,3,1.37,"49-76"
"1",45,43,2.7,1.35,"24-43"
"1",62,71,3.8,4,"49-76"
"1",50,50,3.4,2.23,"43-49"
"2",43,59,3.7,2.02,"24-43"
"2",45,44,3.1,1.98,"49-76"
"2",48,61,2.8,2.7,"49-76"
"1",41,50,2.7,1.33,"24-43"
"1",47,44,3,2.6,"24-43"
"2",53,48,2.9,1.95,"49-76"
"2",41,49,2.6,1.33,"49-76"
"2",68,70,3.7,2.98,"24-43"
"2",50,49,3.75,3.13,"49-76"
"2",36,46,3,2.3,"49-76"
"2",36,42,2.6,2.42,"49-76"
"1",49,68,3,1.87,"49-76"
"2",53,37,3.25,3.06,"24-43"
"2",63,66,3.8,2.81,"43-49"
"1",50,63,3,2.59,"43-49"
"1",42,44,2.5,1.59,"49-76"
"1",45,60,2.9,2.62,"24-43"
"2",67,70,4,3.82,"49-76"
"2",53,37,3.25,2.68,"43-49"
"1",45,54,3,1.62,"24-43"
"2",48,55,3.3,3.04,"49-76"
"2",55,57,2.8,3.17,"49-76"
"2",32,41,2.7,1.76,"49-76"
"2",44,59,2,1.68,"49-76"
"2",53,59,2.8,2.35,"24-43"
"2",48,51,3.9,3.12,"49-76"
"1",64,76,4,4,"43-49"
"2",47,45,3.7,2.37,"43-49"
"2",56,45,3.8,2.97,"49-76"
"2",35,51,3.9,3.6,"49-76"
"2",50,53,3.75,2.54,"43-49"
"2",61,62,3.5,3.86,"24-43"
"1",52,61,3.5,3.71,"49-76"
"1",41,57,2.9,1.72,"24-43"
"2",56,55,3,2.56,"24-43"
"1",40,43,2.1,2,"49-76"
"2",50,52,3.75,3.34,"49-76"
"2",61,60,3.5,3.21,"43-49"
"1",71,71,3.5,2.71,"49-76"
"2",39,40,3.6,2.96,"43-49"
"1",48,51,3,2.84,"43-49"
"1",53,50,2.7,3.16,"24-43"
"2",52,52,4,3.6,"49-76"
"2",47,44,3,2.24,"43-49"
"1",46,53,2.8,2.19,"49-76"
"2",39,45,2.5,0,"49-76"
"2",61,57,4,3.91,"49-76"
"1",58,62,4,3,"43-49"
"2",47,60,3.3,2.28,"49-76"
"1",39,50,2.5,0.57,"43-49"
"2",47,56,4,3.12,"43-49"
"1",56,63,3.3,1.13,"24-43"
"2",32,57,2.7,1.76,"49-76"
"2",44,60,3.2,2.43,"49-76"
"1",36,51,2.9,2.2,"49-76"
"1",55,47,2.7,0.55,"24-43"
"1",51,42,3.2,3.27,"43-49"
"1",55,56,3.5,2.75,"43-49"
"1",57,57,2.8,2.37,"49-76"
"2",52,52,2.8,2.24,"49-76"
"2",47,44,3,2.98,"43-49"
"1",49,53,2.1,1.47,"49-76"
"2",58,71,4,3.31,"49-76"
"1",42,50,3.75,2.24,"49-76"
"1",67,73,3.75,3.72,"43-49"
"1",46,54,2.8,2.42,"49-76"
"1",50,68,3.1,2.09,"49-76"
"2",53,65,2.9,1.88,"24-43"
"1",42,46,2.8,3.04,"43-49"
"1",69,60,3.5,2.71,"43-49"
"1",45,62,2.4,3.25,"24-43"
"2",39,45,2.5,0,"43-49"
"2",45,56,4,3.02,"43-49"
"1",43,39,2.5,2.24,"49-76"
"1",46,44,3.5,3.1,"49-76"
"1",43,43,2.7,3.4,"49-76"
"2",60,58,3.2,3.44,"49-76"
"1",41,57,2.7,1.81,"49-76"
"1",32,51,2.9,2.2,"43-49"
"1",57,58,3.9,2.47,"24-43"
"2",62,51,2.9,2.31,"49-76"
"1",45,64,3,1.6,"24-43"
"2",44,58,4,3.51,"49-76"
"1",47,43,2.75,2.33,"43-49"
"2",37,41,3.1,0.61,"49-76"
"2",41,45,3.7,1.55,"49-76"
"2",50,33,2.5,1.57,"24-43"
"1",52,64,3.9,4,"24-43"
"1",40,58,2.75,2.21,"43-49"
"1",43,43,2.8,2.38,"43-49"
"1",58,51,3,3.13,"49-76"
"1",39,38,3.2,1.51,"24-43"
"2",46,57,3.25,3.07,"24-43"
"1",43,45,2.5,1.72,"24-43"
"1",59,57,3,2.19,"43-49"
"1",62,60,4,2.47,"43-49"
"2",46,47,2.25,1.91,"49-76"
"2",38,55,3.8,2.17,"49-76"
"1",43,63,3.8,1.85,"43-49"
"2",73,70,4,3.31,"49-76"
"2",51,55,2.5,2.19,"49-76"
"1",39,58,2.9,1.9,"49-76"
"1",31,55,2,1.77,"24-43"
"2",49,54,4,3.1,"43-49"
"1",57,59,3,2.84,"43-49"
"1",44,50,2.5,1.79,"49-76"
"1",45,58,2.9,2.29,"24-43"
"1",41,58,4,2.24,"43-49"
"2",54,52,2.6,1.64,"24-43"
"1",57,45,2.6,1.98,"43-49"
"2",46,44,2.3,1.91,"49-76"
"2",55,66,3.6,3.65,"49-76"
"2",59,51,3.8,2.86,"24-43"
"2",46,47,2.8,2,"49-76"
"2",54,50,3.4,3.34,"49-76"
"2",53,40,3.3,2.54,"43-49"
"1",42,49,3.1,2.4,"49-76"
"1",50,60,3.7,1.43,"43-49"
"1",43,49,2.3,1.59,"43-49"
"1",48,42,3.1,3.27,"24-43"
"2",59,56,3.8,3.11,"49-76"
"2",47,58,3.5,2.88,"49-76"
"2",56,50,3.8,2.97,"43-49"
"1",54,63,3.3,2.04,"49-76"
"1",43,62,3.1,3.06,"43-49"
"1",71,60,3.5,2.31,"43-49"
"2",46,58,3.3,2.68,"24-43"
"2",45,44,3.1,1.03,"49-76"
"2",45,59,3.9,3.22,"49-76"
"1",64,62,3.2,3.07,"24-43"
"2",47,61,3.75,2.98,"49-76"
"1",52,60,3.3,2.64,"43-49"
"1",55,59,2.1,3.33,"43-49"
"1",61,68,3.8,3.48,"24-43"
"2",40,47,3.1,2.02,"49-76"
"1",36,64,3.5,2.98,"49-76"
"2",57,45,3.8,3.1,"49-76"
"2",41,35,2.5,3.15,"24-43"
"1",51,73,3.75,3.82,"43-49"
"2",40,49,2.5,1.62,"49-76"
"2",39,45,2.5,1.24,"49-76"
"2",57,58,3.9,3.81,"43-49"
"2",63,54,3.4,3.16,"49-76"
"1",63,75,4,3.43,"49-76"
"2",47,64,4,3.76,"43-49"
"1",38,50,2.5,1.55,"49-76"
"2",62,63,3.75,2.81,"49-76"
"1",58,77,4,3.19,"49-76"
"2",44,60,3.7,2.67,"43-49"
"1",52,60,3,3.24,"49-76"
"1",50,48,2,1.14,"24-43"
"1",49,68,3,2.02,"49-76"
"1",64,73,4,2.89,"49-76"
"1",41,61,4,2.14,"49-76"
"1",44,63,3.8,3.08,"49-76"
"1",31,45,2,1.31,"24-43"
"2",50,55,3.5,3.11,"49-76"
"1",44,39,2.5,2.47,"24-43"
"2",49,49,3,1.73,"24-43"
"1",51,66,3.5,2.23,"43-49"
"1",50,58,3.7,1.43,"49-76"
"1",55,64,4,3.67,"49-76"
"1",49,44,2.3,2.04,"49-76"
"1",49,41,2.1,1.31,"43-49"
"1",41,51,2.9,1.92,"43-49"
"2",44,50,2.75,2.17,"49-76"
"2",51,55,3.3,2.42,"43-49"
"2",57,55,4,3.51,"49-76"
"1",58,66,4,3.41,"49-76"
"1",43,43,2.8,1.37,"49-76"
"2",35,47,3,2.56,"43-49"
"1",45,64,2.9,1.6,"49-76"
"1",48,48,3.1,2.24,"49-76"
"1",36,38,3.1,1.43,"24-43"
"1",41,50,2.9,3.04,"49-76"
"1",62,60,2.3,1.69,"49-76"
"2",60,61,3,1.98,"49-76"
"2",45,52,3.6,2.58,"49-76"
"2",55,49,2.5,0.55,"49-76"
"1",52,53,3.5,1.96,"49-76"
"2",52,55,3.5,3.37,"49-76"
"1",59,66,2.5,1.8,"24-43"
"1",53,70,3.7,3.71,"49-76"
"2",59,63,4,2.93,"43-49"
"2",32,38,2,2,"49-76"
"1",45,58,2.4,2.4,"43-49"
"1",41,66,2.9,1.92,"49-76"
"1",52,66,4,3.98,"49-76"
"1",48,55,3.2,2.8,"43-49"
"2",44,43,4,1.12,"49-76"
"1",58,61,4,2.8,"49-76"
"1",44,52,3.5,2.56,"49-76"
"2",45,59,3.6,2.77,"49-76"
"1",61,57,2.6,3.64,"24-43"
"1",51,65,2.5,1.3,"49-76"
"2",47,60,3.5,1.4,"43-49"
"2",50,51,3.9,3.48,"43-49"
"1",41,50,3.5,2.46,"43-49"
"2",50,55,3.2,2.43,"49-76"
"1",45,58,2.4,2.28,"43-49"
"2",36,47,3,2.6,"49-76"
"1",54,57,3.5,1.95,"43-49"
"2",39,34,2.7,0,"43-49"
"2",40,49,3,2.88,"49-76"
"1",50,72,3.2,1.89,"49-76"
"1",45,58,2.9,2.28,"24-43"
"2",53,67,4,3.89,"24-43"
"2",47,55,4,3.12,"49-76"
"1",59,60,3.5,3.86,"49-76"
"1",60,67,4,2.98,"49-76"
"2",67,70,4,2.55,"49-76"
"1",43,43,2.8,1.44,"49-76"
"1",63,71,4,3.59,"49-76"
"2",40,53,3.1,1.17,"43-49"
"2",50,53,3.75,2.48,"43-49"
"1",60,63,3.25,2.43,"49-76"
"2",38,33,3.25,2.33,"24-43"
"1",64,61,3.75,2.9,"43-49"
"1",43,51,3.1,2.56,"49-76"
"2",53,52,3.6,3.13,"49-76"
"2",53,51,2.7,3.16,"24-43"
"2",46,50,3.7,2.35,"43-49"
"2",48,62,3.3,2.64,"49-76"
"1",37,50,3.1,2.08,"43-49"
"1",50,58,3,4,"49-76"
"1",53,50,2.5,1.87,"49-76"
"1",52,65,4,4,"49-76"
"2",38,42,2.8,1.37,"49-76"
"1",56,63,3.2,2.03,"24-43"
"1",52,53,3.1,2.54,"49-76"
"2",42,56,2.5,2.67,"49-76"
"2",41,44,3.5,2.12,"49-76"
"2",53,60,2.8,1.88,"49-76"
"2",44,59,3.2,3.09,"43-49"
"2",44,48,2.67,1.35,"49-76"
"2",51,54,4,3.77,"49-76"
"1",56,58,3.25,2.56,"49-76"
"1",42,55,2.8,1.71,"49-76"
"2",55,57,2.8,2.8,"49-76"
"1",39,58,2.9,1.9,"49-76"
"1",56,55,4,1.44,"24-43"
"2",62,56,4,3.69,"49-76"
"1",66,66,3.75,3.7,"49-76"
"2",36,46,2.9,2.38,"24-43"
"2",54,53,2.3,1.5,"49-76"
"1",46,49,2.5,1.54,"49-76"
"2",57,62,3.5,3.35,"24-43"
"2",46,44,3.1,2,"43-49"
"1",55,65,2.1,2.09,"49-76"
"2",47,57,2.8,2.63,"49-76"
"1",50,58,3.2,2.37,"24-43"
"2",50,52,4,3.42,"43-49"
"2",58,51,3.8,3.33,"43-49"
"2",43,59,3.5,3.02,"43-49"
"1",54,55,3.5,3.4,"43-49"
"1",41,62,3.5,2.46,"43-49"
"1",49,41,2.3,2.53,"24-43"
"1",54,68,3.8,3.66,"49-76"
"1",37,48,3.1,1.51,"49-76"
"2",43,47,2.8,2.28,"49-76"
"2",47,56,3,1.59,"24-43"
"2",50,43,3.75,3.13,"49-76"
"1",42,57,3.1,2.52,"49-76"
"1",49,44,3,3.29,"24-43"
"1",51,56,3,2.42,"43-49"
"1",45,57,3.25,2.29,"49-76"
"2",47,47,2.7,1.35,"43-49"
"1",51,36,2.75,2.04,"49-76"
"2",58,66,4,3.38,"43-49"
"2",46,56,2.9,2.42,"49-76"
"1",58,70,4,3.08,"49-76"
"1",58,57,3,3.13,"49-76"
"2",55,64,3.75,3.94,"49-76"
"1",51,59,2.5,2.34,"49-76"
"1",39,64,3.75,2.46,"49-76"
"2",56,60,3.5,3.15,"49-76"
